ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,is_finish
1656143617417543681,1656143617417569961,Timing,RTKLocalizationComponent::Proc,26280,0,0,0,0
1656143617513672559,1656143617513833571,Timing,RTKLocalizationComponent::Proc,161012,0,0,0,1
1656143617577335842,1656143617577408554,Timing,RTKLocalizationComponent::Proc,72712,0,0,0,1
1656143617657295138,1656143617657356521,Timing,RTKLocalizationComponent::Proc,61383,0,0,0,1
1656143617737393035,1656143617737457627,Timing,RTKLocalizationComponent::Proc,64592,0,0,0,1
1656143617819345097,1656143617819425046,Timing,RTKLocalizationComponent::Proc,79949,0,0,0,1
1656143617897299563,1656143617897364096,Timing,RTKLocalizationComponent::Proc,64533,0,0,0,1
1656143617977698979,1656143617977842525,Timing,RTKLocalizationComponent::Proc,143546,0,0,0,1
1656143618057572167,1656143618057847152,Timing,RTKLocalizationComponent::Proc,274985,0,0,0,1
1656143618137277796,1656143618137344163,Timing,RTKLocalizationComponent::Proc,66367,0,0,0,1
1656143618217602807,1656143618217823106,Timing,RTKLocalizationComponent::Proc,220299,0,0,0,1
1656143618297434381,1656143618297509885,Timing,RTKLocalizationComponent::Proc,75504,0,0,0,1
1656143618377346453,1656143618377400322,Timing,RTKLocalizationComponent::Proc,53869,0,0,0,1
1656143618457325701,1656143618457385829,Timing,RTKLocalizationComponent::Proc,60128,0,0,0,1
1656143618537364559,1656143618537418215,Timing,RTKLocalizationComponent::Proc,53656,0,0,0,1
1656143618617263777,1656143618617321634,Timing,RTKLocalizationComponent::Proc,57857,0,0,0,1
1656143618697459310,1656143618697554683,Timing,RTKLocalizationComponent::Proc,95373,0,0,0,1
1656143618777356229,1656143618777410254,Timing,RTKLocalizationComponent::Proc,54025,0,0,0,1
1656143618857308931,1656143618857367445,Timing,RTKLocalizationComponent::Proc,58514,0,0,0,1
1656143618937334042,1656143618937414677,Timing,RTKLocalizationComponent::Proc,80635,0,0,0,1
1656143619017243205,1656143619017298504,Timing,RTKLocalizationComponent::Proc,55299,0,0,0,1
1656143619097623563,1656143619097682578,Timing,RTKLocalizationComponent::Proc,59015,0,0,0,1
1656143619177570894,1656143619177631553,Timing,RTKLocalizationComponent::Proc,60659,0,0,0,1
1656143619257303975,1656143619257369561,Timing,RTKLocalizationComponent::Proc,65586,0,0,0,1
1656143619344361792,1656143619344435418,Timing,RTKLocalizationComponent::Proc,73626,0,0,0,1
1656143619422566905,1656143619422623843,Timing,RTKLocalizationComponent::Proc,56938,0,0,0,1
1656143619502503869,1656143619502581303,Timing,RTKLocalizationComponent::Proc,77434,0,0,0,1
1656143619582512818,1656143619582704609,Timing,RTKLocalizationComponent::Proc,191791,0,0,0,1
1656143619662508820,1656143619662657398,Timing,RTKLocalizationComponent::Proc,148578,0,0,0,1
1656143619742649796,1656143619742772502,Timing,RTKLocalizationComponent::Proc,122706,0,0,0,1
1656143619822561558,1656143619822655424,Timing,RTKLocalizationComponent::Proc,93866,0,0,0,1
1656143619902544565,1656143619902666682,Timing,RTKLocalizationComponent::Proc,122117,0,0,0,1
1656143619988017576,1656143619988130344,Timing,RTKLocalizationComponent::Proc,112768,0,0,0,1
1656143620066451452,1656143620066565808,Timing,RTKLocalizationComponent::Proc,114356,0,0,0,1
1656143620146280673,1656143620146361725,Timing,RTKLocalizationComponent::Proc,81052,0,0,0,1
1656143620226285299,1656143620226364517,Timing,RTKLocalizationComponent::Proc,79218,0,0,0,1
1656143620306201835,1656143620306288858,Timing,RTKLocalizationComponent::Proc,87023,0,0,0,1
1656143620386225635,1656143620386347629,Timing,RTKLocalizationComponent::Proc,121994,0,0,0,1
1656143620467130400,1656143620467255238,Timing,RTKLocalizationComponent::Proc,124838,0,0,0,1
1656143620546462583,1656143620546553688,Timing,RTKLocalizationComponent::Proc,91105,0,0,0,1
1656143620626180471,1656143620626307167,Timing,RTKLocalizationComponent::Proc,126696,0,0,0,1
1656143620706188306,1656143620706308210,Timing,RTKLocalizationComponent::Proc,119904,0,0,0,1
1656143620786204729,1656143620786281522,Timing,RTKLocalizationComponent::Proc,76793,0,0,0,1
1656143620866369865,1656143620866474868,Timing,RTKLocalizationComponent::Proc,105003,0,0,0,1
1656143620946342024,1656143620946549479,Timing,RTKLocalizationComponent::Proc,207455,0,0,0,1
1656143621027612364,1656143621027689353,Timing,RTKLocalizationComponent::Proc,76989,0,0,0,1
1656143621106152131,1656143621106226933,Timing,RTKLocalizationComponent::Proc,74802,0,0,0,1
1656143621186250214,1656143621186331563,Timing,RTKLocalizationComponent::Proc,81349,0,0,0,1
1656143621266227087,1656143621266316268,Timing,RTKLocalizationComponent::Proc,89181,0,0,0,1
1656143621346208986,1656143621346304112,Timing,RTKLocalizationComponent::Proc,95126,0,0,0,1
1656143621432333430,1656143621432409059,Timing,RTKLocalizationComponent::Proc,75629,0,0,0,1
1656143621506297045,1656143621506375491,Timing,RTKLocalizationComponent::Proc,78446,0,0,0,1
1656143621586178213,1656143621586271054,Timing,RTKLocalizationComponent::Proc,92841,0,0,0,1
1656143621666155432,1656143621666293846,Timing,RTKLocalizationComponent::Proc,138414,0,0,0,1
1656143621746291289,1656143621746374130,Timing,RTKLocalizationComponent::Proc,82841,0,0,0,1
1656143621826144008,1656143621826239170,Timing,RTKLocalizationComponent::Proc,95162,0,0,0,1
1656143621906343480,1656143621906454349,Timing,RTKLocalizationComponent::Proc,110869,0,0,0,1
1656143621986163446,1656143621986267542,Timing,RTKLocalizationComponent::Proc,104096,0,0,0,1
1656143622066226335,1656143622066316427,Timing,RTKLocalizationComponent::Proc,90092,0,0,0,1
1656143622146184493,1656143622146263651,Timing,RTKLocalizationComponent::Proc,79158,0,0,0,1
1656143622226168973,1656143622226293308,Timing,RTKLocalizationComponent::Proc,124335,0,0,0,1
1656143622306206003,1656143622306292914,Timing,RTKLocalizationComponent::Proc,86911,0,0,0,1
1656143622394435087,1656143622394569191,Timing,RTKLocalizationComponent::Proc,134104,0,0,0,1
1656143622466428078,1656143622466648777,Timing,RTKLocalizationComponent::Proc,220699,0,0,0,1
1656143622546271380,1656143622546431132,Timing,RTKLocalizationComponent::Proc,159752,0,0,0,1
1656143622626308608,1656143622626433094,Timing,RTKLocalizationComponent::Proc,124486,0,0,0,1
1656143622706239793,1656143622706509720,Timing,RTKLocalizationComponent::Proc,269927,0,0,0,1
1656143622786168281,1656143622786245489,Timing,RTKLocalizationComponent::Proc,77208,0,0,0,1
1656143622866245460,1656143622866350994,Timing,RTKLocalizationComponent::Proc,105534,0,0,0,1
1656143622946152764,1656143622946252538,Timing,RTKLocalizationComponent::Proc,99774,0,0,0,1
1656143623026123328,1656143623026206636,Timing,RTKLocalizationComponent::Proc,83308,0,0,0,1
